Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
Research Scientist,$63K-$97K (Glassdoor est.),"Research Scientist
Location: Cambridge, MA

We are looking for a research scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Excel, SQL.",4.1,"Blue Cross Blue Shield
4.1","Cambridge, MA","Cambridge, MA",501 to 1000 employees,1871,Other Organization,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Reynolds American, Affinity Solutions",0,0,63,97,80.0,"Blue Cross Blue Shield
",MA,1,149,0,0,0,0,1
Data Analyst,$74K-$124K (Glassdoor est.),"Data Analyst
Location: New York, NY

We are looking for a data analyst to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, SQL.",3.4,"KnowBe4
3.4","New York, NY","New York, NY",51 to 200 employees,1919,Other Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,0,0,74,124,99.0,"KnowBe4
",NY,1,101,1,0,0,0,0
Machine Learning Engineer,$120K-$212K (Glassdoor est.),"Machine Learning Engineer
Location: Seattle, WA

We are looking for a machine learning engineer to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, AWS, SQL.",4.3,"Amazon
4.3","Seattle, WA","Richland, WA",51 to 200 employees,1935,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD),-1,0,0,120,212,166.0,"Amazon
",WA,1,85,1,0,0,1,0
Data Analyst,$50K-$74K (Glassdoor est.),"Data Analyst
Location: New York, NY

We are looking for a data analyst to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, AWS, Excel, SQL.",4.3,"Tecolote Research
4.3","New York, NY","Arlington, VA",501 to 1000 employees,1946,Other Organization,Aerospace & Defense,Aerospace & Defense,$1 to $5 million (USD),"Liberty Mutual, Rochester Regional Health",0,0,50,74,62.0,"Tecolote Research
",NY,0,74,1,0,0,1,1
Machine Learning Engineer,$115K-$180K (Glassdoor est.),"Machine Learning Engineer
Location: Cambridge, MA

We are looking for a machine learning engineer to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Spark, SQL.",4.1,"KnowBe4
4.1","Cambridge, MA","Chicago, IL",5001 to 10000 employees,1887,Government,IT Services,Information Technology,$10 to $25 million (USD),"Lockheed Martin, IBM",0,0,115,180,147.5,"KnowBe4
",MA,0,133,1,0,1,0,0
Senior Data Scientist,$103K-$165K (Glassdoor est.),"Senior Data Scientist
Location: Dallas, TX

We are looking for a senior data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Excel, SQL.",3.6,"Takeda
3.6","Dallas, TX","New York, NY",51 to 200 employees,1957,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1,0,0,103,165,134.0,"Takeda
",TX,0,63,1,0,0,0,1
Data Scientist,$42K-$77K (Glassdoor est.),"Data Scientist
Location: Boston, MA

We are looking for a data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: SQL, statistics.",4.0,"Tecolote Research
4.0","Boston, MA","Cambridge, MA",201 to 500 employees,1985,Nonprofit Organization,Insurance Carriers,Insurance,$50 to $100 million (USD),-1,0,0,42,77,59.5,"Tecolote Research
",MA,1,35,0,0,0,0,0
Data Scientist,$137K-$213K (Glassdoor est.),"Data Scientist
Location: Austin, TX

We are looking for a data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Spark, SQL.",4.2,"CyrusOne
4.2","Austin, TX","Dallas, TX",1001 to 5000 employees,1964,Government,Security Services,Business Services,$1 to $5 million (USD),"ClearOne Advantage, Guardian Life",0,0,137,213,175.0,"CyrusOne
",TX,1,56,1,0,1,0,0
Data Analyst,$86K-$146K (Glassdoor est.),"Data Analyst
Location: San Jose, CA

We are looking for a data analyst to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: AWS, SQL.",3.9,"Takeda
3.9","San Jose, CA","San Jose, CA",1 to 50 employees,-1,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),"Pfizer, Novartis",0,0,86,146,116.0,"Takeda
",CA,1,-1,0,0,0,1,0
Data Engineer,$88K-$151K (Glassdoor est.),"Data Engineer
Location: San Jose, CA

We are looking for a data engineer to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Spark, AWS, Excel, SQL.",3.5,"Blue Cross Blue Shield
3.5","San Jose, CA","Goleta, CA",1001 to 5000 employees,1970,Subsidiary or Business Segment,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1,0,0,88,151,119.5,"Blue Cross Blue Shield
",CA,1,50,1,0,1,1,1
Data Scientist,$67K-$106K (Glassdoor est.),"Data Scientist
Location: Clearwater, FL

We are looking for a data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: SQL, statistics.",3.7,"Blue Cross Blue Shield
3.7","Clearwater, FL","Chicago, IL",5001 to 10000 employees,1889,Company - Public,Internet,Information Technology,$100 to $500 million (USD),-1,0,0,67,106,86.5,"Blue Cross Blue Shield
",FL,0,131,0,0,0,0,0
Data Scientist,$67K-$108K (Glassdoor est.),"Data Scientist
Location: Arlington, VA

We are looking for a data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: AWS, Excel, SQL.",4.7,"Liberty Mutual
4.7","Arlington, VA","Arlington, VA",1 to 50 employees,1831,Government,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,67,108,87.5,"Liberty Mutual
",VA,1,189,0,0,0,1,1
Research Scientist,$66K-$115K (Glassdoor est.),"Research Scientist
Location: Linthicum, MD

We are looking for a research scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Spark, SQL.",4.5,"Lockheed Martin
4.5","Linthicum, MD","Albuquerque, NM",501 to 1000 employees,1948,Subsidiary or Business Segment,Insurance Carriers,Insurance,$50 to $100 million (USD),-1,0,0,66,115,90.5,"Lockheed Martin
",MD,0,72,0,0,1,0,0
Data Engineer,$86K-$140K (Glassdoor est.),"Data Engineer
Location: Austin, TX

We are looking for a data engineer to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Excel, SQL.",3.2,"IBM
3.2","Austin, TX","Austin, TX",1 to 50 employees,2011,Nonprofit Organization,IT Services,Information Technology,$10 to $25 million (USD),-1,0,0,86,140,113.0,"IBM
",TX,1,9,1,0,0,0,1
Data Scientist,$77K-$129K (Glassdoor est.),"Data Scientist
Location: San Jose, CA

We are looking for a data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: SQL, statistics.",3.9,"Affinity Solutions
3.9","San Jose, CA","Arlington, VA",1001 to 5000 employees,2014,Government,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),"Logic20/20, Takeda",0,0,77,129,103.0,"Affinity Solutions
",CA,0,6,0,0,0,0,0
Senior Data Scientist,$117K-$190K (Glassdoor est.),"Senior Data Scientist
Location: New York, NY

We are looking for a senior data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Excel, SQL.",4.2,"Reynolds American
4.2","New York, NY","New York, NY",501 to 1000 employees,1900,Nonprofit Organization,Advertising & Marketing,Business Services,$1 to $5 million (USD),"CyrusOne, Pfizer",0,0,117,190,153.5,"Reynolds American
",NY,1,120,1,0,0,0,1
Data Scientist,$84K-$126K (Glassdoor est.),"Data Scientist
Location: Richland, WA

We are looking for a data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: AWS, SQL.",4.4,"Visa
4.4","Richland, WA","Richland, WA",201 to 500 employees,1923,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,0,0,84,126,105.0,"Visa
",WA,1,97,0,0,0,1,0
Research Scientist,$107K-$165K (Glassdoor est.),"Research Scientist
Location: Goleta, CA

We are looking for a research scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Spark, SQL.",3.9,"Logic20/20
3.9","Goleta, CA","San Jose, CA",1001 to 5000 employees,1883,Other Organization,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"KnowBe4, Lockheed Martin",0,0,107,165,136.0,"Logic20/20
",CA,1,137,0,0,1,0,0
Director of Data Science,$129K-$203K (Glassdoor est.),"Director of Data Science
Location: Chicago, IL

We are looking for a director of data science to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Spark, SQL.",3.9,"Amazon
3.9","Chicago, IL","Chicago, IL",501 to 1000 employees,1834,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),-1,0,0,129,203,166.0,"Amazon
",IL,1,186,1,0,1,0,0
Data Analyst,$46K-$86K (Glassdoor est.),"Data Analyst
Location: Linthicum, MD

We are looking for a data analyst to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Excel, SQL.",3.5,"Reynolds American
3.5","Linthicum, MD","Baltimore, MD",10000+ employees,1845,Subsidiary or Business Segment,Internet,Information Technology,$100 to $500 million (USD),-1,0,0,46,86,66.0,"Reynolds American
",MD,1,175,0,0,0,0,1
Research Scientist,$72K-$129K (Glassdoor est.),"Research Scientist
Location: Baltimore, MD

We are looking for a research scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, SQL.",4.0,"Lockheed Martin
4.0","Baltimore, MD","Boston, MA",10000+ employees,2001,Subsidiary or Business Segment,Security Services,Business Services,$500 million to $1 billion (USD),"Tecolote Research, Lockheed Martin",0,0,72,129,100.5,"Lockheed Martin
",MD,0,19,1,0,0,0,0
Data Scientist,$66K-$98K (Glassdoor est.),"Data Scientist
Location: Arlington, VA

We are looking for a data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Excel, SQL.",2.6,"Visa
2.6","Arlington, VA","Arlington, VA",1001 to 5000 employees,1953,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Reynolds American, Numerator",0,0,66,98,82.0,"Visa
",VA,1,67,0,0,0,0,1
Data Analyst,$53K-$87K (Glassdoor est.),"Data Analyst
Location: New York, NY

We are looking for a data analyst to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: AWS, Excel, SQL.",3.8,"Logic20/20
3.8","New York, NY","New York, NY",10000+ employees,1947,Other Organization,Energy,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD),-1,0,0,53,87,70.0,"Logic20/20
",NY,1,73,0,0,0,1,1
Data Scientist,$69K-$111K (Glassdoor est.),"Data Scientist
Location: Boston, MA

We are looking for a data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Excel, SQL.",-1.0,CyrusOne,"Boston, MA","New York, NY",501 to 1000 employees,1853,Other Organization,Internet,Information Technology,$500 million to $1 billion (USD),"Walmart, Gallup",0,0,69,111,90.0,CyrusOne,MA,0,167,1,0,0,0,1
Data Scientist,$67K-$107K (Glassdoor est.),"Data Scientist
Location: New York, NY

We are looking for a data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Excel, SQL.",4.2,"Amazon
4.2","New York, NY","Linthicum, MD",10000+ employees,1878,Government,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,0,0,67,107,87.0,"Amazon
",NY,0,142,1,0,0,0,1
Data Engineer,$75K-$121K (Glassdoor est.),"Data Engineer
Location: Arlington, VA

We are looking for a data engineer to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: SQL, statistics.",2.7,"Amazon
2.7","Arlington, VA","Seattle, WA",51 to 200 employees,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Rochester Regional Health, PNNL",0,0,75,121,98.0,"Amazon
",VA,0,11,0,0,0,0,0
Data Engineer,$79K-$112K (Glassdoor est.),"Data Engineer
Location: San Francisco, CA

We are looking for a data engineer to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: SQL, statistics.",3.5,"ClearOne Advantage
3.5","San Francisco, CA","Clearwater, FL",51 to 200 employees,1986,Government,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),"CyrusOne, Guardian Life",0,0,79,112,95.5,"ClearOne Advantage
",CA,0,34,0,0,0,0,0
Data Analyst,$51K-$93K (Glassdoor est.),"Data Analyst
Location: Cambridge, MA

We are looking for a data analyst to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: AWS, Excel, SQL.",4.5,"ClearOne Advantage
4.5","Cambridge, MA","Cambridge, MA",201 to 500 employees,1943,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,51,93,72.0,"ClearOne Advantage
",MA,1,77,0,0,0,1,1
Data Engineer,$60K-$110K (Glassdoor est.),"Data Engineer
Location: Seattle, WA

We are looking for a data engineer to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Excel, SQL.",2.9,"Lockheed Martin
2.9","Seattle, WA","Goleta, CA",1 to 50 employees,1966,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD),-1,0,0,60,110,85.0,"Lockheed Martin
",WA,0,54,1,0,0,0,1
Data Scientist,$115K-$192K (Glassdoor est.),"Data Scientist
Location: Goleta, CA

We are looking for a data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, AWS, SQL.",3.3,"Lockheed Martin
3.3","Goleta, CA","Richland, WA",10000+ employees,1853,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),-1,0,0,115,192,153.5,"Lockheed Martin
",CA,0,167,1,0,0,1,0
Data Analyst,$44K-$67K (Glassdoor est.),"Data Analyst
Location: Arlington, VA

We are looking for a data analyst to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Spark, SQL.",3.7,"CyrusOne
3.7","Arlington, VA","Austin, TX",1 to 50 employees,1894,Government,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,0,0,44,67,55.5,"CyrusOne
",VA,0,126,0,0,1,0,0
Lead Data Scientist,$111K-$182K (Glassdoor est.),"Lead Data Scientist
Location: Cambridge, MA

We are looking for a lead data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Spark, Excel, SQL.",4.5,"Numerator
4.5","Cambridge, MA","San Francisco, CA",5001 to 10000 employees,1953,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),"Amazon, ClearOne Advantage",0,0,111,182,146.5,"Numerator
",MA,0,67,1,0,1,0,1
Data Scientist,$84K-$128K (Glassdoor est.),"Data Scientist
Location: Dallas, TX

We are looking for a data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Spark, AWS, Excel, SQL.",4.3,"Lockheed Martin
4.3","Dallas, TX","San Francisco, CA",51 to 200 employees,1959,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),-1,0,0,84,128,106.0,"Lockheed Martin
",TX,0,61,0,0,1,1,1
Data Scientist,$66K-$119K (Glassdoor est.),"Data Scientist
Location: Cambridge, MA

We are looking for a data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: AWS, Excel, SQL.",4.3,"Reynolds American
4.3","Cambridge, MA","Boston, MA",51 to 200 employees,1840,Government,IT Services,Information Technology,$100 to $500 million (USD),"Visa, Liberty Mutual",0,0,66,119,92.5,"Reynolds American
",MA,0,180,0,0,0,1,1
Senior Data Scientist,$97K-$148K (Glassdoor est.),"Senior Data Scientist
Location: New York, NY

We are looking for a senior data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Excel, SQL.",4.8,"Guardian Life
4.8","New York, NY","Tampa, FL",5001 to 10000 employees,1918,Nonprofit Organization,Advertising & Marketing,Business Services,$1 to $2 billion (USD),-1,0,0,97,148,122.5,"Guardian Life
",NY,0,102,1,0,0,0,1
Machine Learning Engineer,$112K-$205K (Glassdoor est.),"Machine Learning Engineer
Location: Dallas, TX

We are looking for a machine learning engineer to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: SQL, statistics.",3.7,"Blue Cross Blue Shield
3.7","Dallas, TX","Dallas, TX",51 to 200 employees,1900,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),-1,0,0,112,205,158.5,"Blue Cross Blue Shield
",TX,1,120,0,0,0,0,0
Lead Data Scientist,$146K-$233K (Glassdoor est.),"Lead Data Scientist
Location: New York, NY

We are looking for a lead data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, SQL.",3.7,"KnowBe4
3.7","New York, NY","San Francisco, CA",201 to 500 employees,1991,Government,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),"Gallup, Affinity Solutions",0,0,146,233,189.5,"KnowBe4
",NY,0,29,1,0,0,0,0
Data Analyst,$34K-$59K (Glassdoor est.),"Data Analyst
Location: Arlington, VA

We are looking for a data analyst to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Excel, SQL.",4.2,"Logic20/20
4.2","Arlington, VA","Arlington, VA",501 to 1000 employees,1922,Other Organization,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Numerator, MassMutual",0,0,34,59,46.5,"Logic20/20
",VA,1,98,1,0,0,0,1
Research Scientist,$48K-$79K (Glassdoor est.),"Research Scientist
Location: Dallas, TX

We are looking for a research scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: SQL, statistics.",5.0,"Tecolote Research
5.0","Dallas, TX","Dallas, TX",51 to 200 employees,1990,Company - Private,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,48,79,63.5,"Tecolote Research
",TX,1,30,0,0,0,0,0
Research Scientist,$108K-$178K (Glassdoor est.),"Research Scientist
Location: San Francisco, CA

We are looking for a research scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Spark, Excel, SQL.",3.4,"Liberty Mutual
3.4","San Francisco, CA","Goleta, CA",501 to 1000 employees,2000,Company - Public,Security Services,Business Services,$500 million to $1 billion (USD),-1,0,0,108,178,143.0,"Liberty Mutual
",CA,1,20,0,0,1,0,1
Machine Learning Engineer,$72K-$107K (Glassdoor est.),"Machine Learning Engineer
Location: San Francisco, CA

We are looking for a machine learning engineer to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Spark, SQL.",3.8,"PNNL
3.8","San Francisco, CA","Austin, TX",501 to 1000 employees,1972,Company - Public,Security Services,Business Services,Unknown / Non-Applicable,-1,0,0,72,107,89.5,"PNNL
",CA,0,48,1,0,1,0,0
Data Scientist,$97K-$154K (Glassdoor est.),"Data Scientist
Location: San Francisco, CA

We are looking for a data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Excel, SQL.",4.6,"Tecolote Research
4.6","San Francisco, CA","Chicago, IL",501 to 1000 employees,2003,Subsidiary or Business Segment,IT Services,Information Technology,$1 to $2 billion (USD),-1,0,0,97,154,125.5,"Tecolote Research
",CA,0,17,1,0,0,0,1
Lead Data Scientist,$89K-$160K (Glassdoor est.),"Lead Data Scientist
Location: New York, NY

We are looking for a lead data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: SQL, statistics.",3.5,"Tecolote Research
3.5","New York, NY","San Francisco, CA",201 to 500 employees,1982,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1,0,0,89,160,124.5,"Tecolote Research
",NY,0,38,0,0,0,0,0
Healthcare Data Scientist,$68K-$113K (Glassdoor est.),"Healthcare Data Scientist
Location: Chicago, IL

We are looking for a healthcare data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, AWS, Excel, SQL.",3.7,"Reynolds American
3.7","Chicago, IL","Chicago, IL",51 to 200 employees,1894,Subsidiary or Business Segment,IT Services,Information Technology,$500 million to $1 billion (USD),"MassMutual, University of Maryland Medical System",0,0,68,113,90.5,"Reynolds American
",IL,1,126,1,0,0,1,1
Senior Data Scientist,$92K-$159K (Glassdoor est.),"Senior Data Scientist
Location: New York, NY

We are looking for a senior data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: SQL, statistics.",5.0,"Liberty Mutual
5.0","New York, NY","Dallas, TX",5001 to 10000 employees,1883,Government,Internet,Information Technology,$10+ billion (USD),-1,0,0,92,159,125.5,"Liberty Mutual
",NY,0,137,0,0,0,0,0
Research Scientist,$43K-$71K (Glassdoor est.),"Research Scientist
Location: Boston, MA

We are looking for a research scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, SQL.",3.8,"Blue Cross Blue Shield
3.8","Boston, MA","New York, NY",5001 to 10000 employees,1963,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$1 to $5 million (USD),-1,0,0,43,71,57.0,"Blue Cross Blue Shield
",MA,0,57,1,0,0,0,0
Data Scientist,$86K-$132K (Glassdoor est.),"Data Scientist
Location: Goleta, CA

We are looking for a data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, SQL.",3.2,"Tecolote Research
3.2","Goleta, CA","Arlington, VA",1001 to 5000 employees,1874,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1,0,0,86,132,109.0,"Tecolote Research
",CA,0,146,1,0,0,0,0
Data Analyst,$30K-$49K (Glassdoor est.),"Data Analyst
Location: Goleta, CA

We are looking for a data analyst to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, SQL.",2.5,"University of Maryland Medical System
2.5","Goleta, CA","San Francisco, CA",201 to 500 employees,-1,Other Organization,Security Services,Business Services,$10 to $25 million (USD),-1,0,0,30,49,39.5,"University of Maryland Medical System
",CA,0,-1,1,0,0,0,0
Director of Data Science,$143K-$252K (Glassdoor est.),"Director of Data Science
Location: Albuquerque, NM

We are looking for a director of data science to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, AWS, Excel, SQL.",3.3,"Novartis
3.3","Albuquerque, NM","Austin, TX",10000+ employees,1871,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1,0,0,143,252,197.5,"Novartis
",NM,0,149,1,0,0,1,1
