InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536619,22197,SMALL POPCORN HOLDER,8,12/3/2010 11:51,0.85,,United Kingdom
536619,22960,JAM MAKING SET WITH JARS,2,12/3/2010 11:51,4.25,,United Kingdom
536685,22960,JAM MAKING SET WITH JARS,4,12/3/2010 16:40,4.25,17427.0,United Kingdom
536685,21754,HOME BUILDING BLOCK WORD,6,12/3/2010 16:40,5.95,17427.0,United Kingdom
536685,21755,LOVE BUILDING BLOCK WORD,3,12/3/2010 16:40,5.95,17427.0,United Kingdom
536685,21754,HOME BUILDING BLOCK WORD,3,12/3/2010 16:40,5.95,17427.0,United Kingdom
536685,22752,SET 7 BABUSHKA NESTING BOXES,2,12/3/2010 16:40,7.65,17427.0,United Kingdom
536685,71053,WHITE METAL LANTERN,2,12/3/2010 16:40,3.39,17427.0,United Kingdom
536685,22632,HAND WARMER RED POLKA DOT,12,12/3/2010 16:40,1.85,17427.0,United Kingdom
536685,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/3/2010 16:40,2.55,17427.0,United Kingdom
536735,22423,REGENCY CAKESTAND 3 TIER,6,12/4/2010 9:31,12.75,15217.0,United Kingdom
536735,22633,HAND WARMER UNION JACK,24,12/4/2010 9:31,1.85,15217.0,United Kingdom
536735,85099B,JUMBO BAG RED RETROSPOT,48,12/4/2010 9:31,1.95,15217.0,United Kingdom
536735,22720,SET OF 3 CAKE TINS PANTRY DESIGN,4,12/4/2010 9:31,4.95,15217.0,United Kingdom
536735,21755,LOVE BUILDING BLOCK WORD,8,12/4/2010 9:31,5.95,15217.0,United Kingdom
536735,21730,GLASS STAR FROSTED T-LIGHT HOLDER,48,12/4/2010 9:31,4.25,15217.0,United Kingdom
536735,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,2,12/4/2010 9:31,4.25,15217.0,United Kingdom
536735,21212,PACK OF 72 RETROSPOT CAKE CASES,3,12/4/2010 9:31,0.55,15217.0,United Kingdom
536735,47566,PARTY BUNTING,8,12/4/2010 9:31,4.95,15217.0,United Kingdom
536735,85099B,JUMBO BAG RED RETROSPOT,48,12/4/2010 9:31,1.95,15217.0,United Kingdom
536735,20725,LUNCH BAG RED RETROSPOT,12,12/4/2010 9:31,1.65,15217.0,United Kingdom
536735,85099B,JUMBO BAG RED RETROSPOT,24,12/4/2010 9:31,1.95,15217.0,United Kingdom
536735,48187,DOORMAT NEW ENGLAND,4,12/4/2010 9:31,7.95,15217.0,United Kingdom
536735,21777,RECIPE BOX WITH METAL HEART,3,12/4/2010 9:31,7.95,15217.0,United Kingdom
536735,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,12/4/2010 9:31,3.39,15217.0,United Kingdom
536735,23084,RABBIT NIGHT LIGHT,48,12/4/2010 9:31,2.08,15217.0,United Kingdom
536813,22633,HAND WARMER UNION JACK,48,12/4/2010 12:51,1.85,13189.0,United Kingdom
536813,22623,BOX OF VINTAGE JIGSAW BLOCKS,6,12/4/2010 12:51,4.95,13189.0,United Kingdom
536813,22748,POPPY'S PLAYHOUSE KITCHEN,1,12/4/2010 12:51,2.1,13189.0,United Kingdom
536813,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,12/4/2010 12:51,4.25,13189.0,United Kingdom
536813,22613,PACK OF 20 SPACEBOY NAPKINS,1,12/4/2010 12:51,0.85,13189.0,United Kingdom
536813,20725,LUNCH BAG RED RETROSPOT,6,12/4/2010 12:51,1.65,13189.0,United Kingdom
536813,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,12/4/2010 12:51,2.55,13189.0,United Kingdom
536813,21777,RECIPE BOX WITH METAL HEART,48,12/4/2010 12:51,7.95,13189.0,United Kingdom
536856,22745,POPPY'S PLAYHOUSE BEDROOM,12,12/5/2010 8:17,2.1,18247.0,United Kingdom
536856,20725,LUNCH BAG RED RETROSPOT,3,12/5/2010 8:17,1.65,18247.0,United Kingdom
536914,20725,LUNCH BAG RED RETROSPOT,6,12/5/2010 15:00,1.65,13778.0,United Kingdom
536914,22310,IVORY KNITTED MUG COSY,1,12/5/2010 15:00,1.65,13778.0,United Kingdom
536914,22913,RED COAT RACK PARIS FASHION,8,12/5/2010 15:00,4.95,13778.0,United Kingdom
536914,20725,LUNCH BAG RED RETROSPOT,6,12/5/2010 15:00,1.65,13778.0,United Kingdom
536914,21212,PACK OF 72 RETROSPOT CAKE CASES,12,12/5/2010 15:00,0.55,13778.0,United Kingdom
536914,22960,JAM MAKING SET WITH JARS,6,12/5/2010 15:00,4.25,13778.0,United Kingdom
536975,21754,HOME BUILDING BLOCK WORD,4,12/6/2010 8:51,5.95,14729.0,United Kingdom
536975,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,2,12/6/2010 8:51,4.25,14729.0,United Kingdom
536975,23084,RABBIT NIGHT LIGHT,24,12/6/2010 8:51,2.08,14729.0,United Kingdom
537043,22423,REGENCY CAKESTAND 3 TIER,48,12/6/2010 16:32,12.75,17741.0,United Kingdom
537104,22748,POPPY'S PLAYHOUSE KITCHEN,48,12/7/2010 10:41,2.1,17635.0,United Kingdom
537104,23084,RABBIT NIGHT LIGHT,3,12/7/2010 10:41,2.08,17635.0,United Kingdom
537166,22745,POPPY'S PLAYHOUSE BEDROOM,1,12/8/2010 8:17,2.1,15088.0,United Kingdom
537166,85099B,JUMBO BAG RED RETROSPOT,3,12/8/2010 8:17,1.95,15088.0,United Kingdom
537166,23084,RABBIT NIGHT LIGHT,3,12/8/2010 8:17,2.08,15088.0,United Kingdom
537166,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3,12/8/2010 8:17,4.95,15088.0,United Kingdom
537166,22633,HAND WARMER UNION JACK,1,12/8/2010 8:17,1.85,15088.0,United Kingdom
537166,22623,BOX OF VINTAGE JIGSAW BLOCKS,2,12/8/2010 8:17,4.95,15088.0,United Kingdom
537166,22623,BOX OF VINTAGE JIGSAW BLOCKS,48,12/8/2010 8:17,4.95,15088.0,United Kingdom
537166,85123A,WHITE HANGING HEART T-LIGHT HOLDER,48,12/8/2010 8:17,2.55,15088.0,United Kingdom
537166,22613,PACK OF 20 SPACEBOY NAPKINS,8,12/8/2010 8:17,0.85,15088.0,United Kingdom
537166,22752,SET 7 BABUSHKA NESTING BOXES,24,12/8/2010 8:17,7.65,15088.0,United Kingdom
537166,20725,LUNCH BAG RED RETROSPOT,2,12/8/2010 8:17,1.65,15088.0,United Kingdom
537166,22623,BOX OF VINTAGE JIGSAW BLOCKS,6,12/8/2010 8:17,4.95,15088.0,United Kingdom
537166,23084,RABBIT NIGHT LIGHT,3,12/8/2010 8:17,2.08,15088.0,United Kingdom
537166,21212,PACK OF 72 RETROSPOT CAKE CASES,24,12/8/2010 8:17,0.55,15088.0,United Kingdom
537166,21754,HOME BUILDING BLOCK WORD,1,12/8/2010 8:17,5.95,15088.0,United Kingdom
537166,84879,ASSORTED COLOUR BIRD ORNAMENT,24,12/8/2010 8:17,1.69,15088.0,United Kingdom
537166,23084,RABBIT NIGHT LIGHT,6,12/8/2010 8:17,2.08,15088.0,United Kingdom
537166,22197,SMALL POPCORN HOLDER,48,12/8/2010 8:17,0.85,15088.0,United Kingdom
537166,23084,RABBIT NIGHT LIGHT,4,12/8/2010 8:17,2.08,15088.0,United Kingdom
537166,22423,REGENCY CAKESTAND 3 TIER,6,12/8/2010 8:17,12.75,15088.0,United Kingdom
537166,22613,PACK OF 20 SPACEBOY NAPKINS,4,12/8/2010 8:17,0.85,15088.0,United Kingdom
537166,22720,SET OF 3 CAKE TINS PANTRY DESIGN,12,12/8/2010 8:17,4.95,15088.0,United Kingdom
537166,71053,WHITE METAL LANTERN,6,12/8/2010 8:17,3.39,15088.0,United Kingdom
537207,22623,BOX OF VINTAGE JIGSAW BLOCKS,2,12/8/2010 15:39,4.95,13702.0,United Kingdom
537207,22720,SET OF 3 CAKE TINS PANTRY DESIGN,48,12/8/2010 15:39,4.95,13702.0,United Kingdom
537207,48187,DOORMAT NEW ENGLAND,6,12/8/2010 15:39,7.95,13702.0,United Kingdom
537207,22748,POPPY'S PLAYHOUSE KITCHEN,24,12/8/2010 15:39,2.1,13702.0,United Kingdom
537207,21777,RECIPE BOX WITH METAL HEART,6,12/8/2010 15:39,7.95,13702.0,United Kingdom
537207,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,12/8/2010 15:39,4.25,13702.0,United Kingdom
537207,47566,PARTY BUNTING,8,12/8/2010 15:39,4.95,13702.0,United Kingdom
537207,22960,JAM MAKING SET WITH JARS,3,12/8/2010 15:39,4.25,13702.0,United Kingdom
537207,84879,ASSORTED COLOUR BIRD ORNAMENT,6,12/8/2010 15:39,1.69,13702.0,United Kingdom
537207,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,12/8/2010 15:39,4.25,13702.0,United Kingdom
537207,21777,RECIPE BOX WITH METAL HEART,1,12/8/2010 15:39,7.95,13702.0,United Kingdom
537207,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,12/8/2010 15:39,4.25,13702.0,United Kingdom
537207,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/8/2010 15:39,2.55,13702.0,United Kingdom
537207,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/8/2010 15:39,4.25,13702.0,United Kingdom
537207,21754,HOME BUILDING BLOCK WORD,6,12/8/2010 15:39,5.95,13702.0,United Kingdom
537207,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,12/8/2010 15:39,4.25,13702.0,United Kingdom
537207,21755,LOVE BUILDING BLOCK WORD,3,12/8/2010 15:39,5.95,13702.0,United Kingdom
537207,84879,ASSORTED COLOUR BIRD ORNAMENT,1,12/8/2010 15:39,1.69,13702.0,United Kingdom
537207,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,12,12/8/2010 15:39,4.25,13702.0,United Kingdom
537207,85099B,JUMBO BAG RED RETROSPOT,6,12/8/2010 15:39,1.95,13702.0,United Kingdom
537207,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/8/2010 15:39,3.39,13702.0,United Kingdom
537207,22310,IVORY KNITTED MUG COSY,8,12/8/2010 15:39,1.65,13702.0,United Kingdom
537207,22310,IVORY KNITTED MUG COSY,12,12/8/2010 15:39,1.65,13702.0,United Kingdom
C537254,21755,LOVE BUILDING BLOCK WORD,-4,12/9/2010 8:13,5.95,14744.0,United Kingdom
C537254,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-48,12/9/2010 8:13,2.55,14744.0,United Kingdom
C537254,22913,RED COAT RACK PARIS FASHION,-4,12/9/2010 8:13,4.95,14744.0,United Kingdom
C537254,22632,HAND WARMER RED POLKA DOT,-6,12/9/2010 8:13,1.85,14744.0,United Kingdom
C537254,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-3,12/9/2010 8:13,3.39,14744.0,United Kingdom
C537254,22720,SET OF 3 CAKE TINS PANTRY DESIGN,-8,12/9/2010 8:13,4.95,14744.0,United Kingdom
C537254,22745,POPPY'S PLAYHOUSE BEDROOM,-1,12/9/2010 8:13,2.1,14744.0,United Kingdom
C537254,22623,BOX OF VINTAGE JIGSAW BLOCKS,-8,12/9/2010 8:13,4.95,14744.0,United Kingdom
C537254,22633,HAND WARMER UNION JACK,-2,12/9/2010 8:13,1.85,14744.0,United Kingdom
C537254,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-4,12/9/2010 8:13,3.39,14744.0,United Kingdom
C537254,22745,POPPY'S PLAYHOUSE BEDROOM,-8,12/9/2010 8:13,2.1,14744.0,United Kingdom
C537254,22310,IVORY KNITTED MUG COSY,-2,12/9/2010 8:13,1.65,14744.0,United Kingdom
C537254,22310,IVORY KNITTED MUG COSY,-24,12/9/2010 8:13,1.65,14744.0,United Kingdom
C537254,71053,WHITE METAL LANTERN,-8,12/9/2010 8:13,3.39,14744.0,United Kingdom
C537254,21212,PACK OF 72 RETROSPOT CAKE CASES,-24,12/9/2010 8:13,0.55,14744.0,United Kingdom
C537254,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-2,12/9/2010 8:13,3.39,14744.0,United Kingdom
537313,84879,ASSORTED COLOUR BIRD ORNAMENT,24,12/9/2010 15:39,1.69,13676.0,United Kingdom
537313,22752,SET 7 BABUSHKA NESTING BOXES,4,12/9/2010 15:39,7.65,13676.0,United Kingdom
537313,22423,REGENCY CAKESTAND 3 TIER,8,12/9/2010 15:39,12.75,13676.0,United Kingdom
537313,22423,REGENCY CAKESTAND 3 TIER,8,12/9/2010 15:39,12.75,13676.0,United Kingdom
537313,21754,HOME BUILDING BLOCK WORD,8,12/9/2010 15:39,5.95,13676.0,United Kingdom
537313,22960,JAM MAKING SET WITH JARS,6,12/9/2010 15:39,4.25,13676.0,United Kingdom
537313,22960,JAM MAKING SET WITH JARS,48,12/9/2010 15:39,4.25,13676.0,United Kingdom
537313,21212,PACK OF 72 RETROSPOT CAKE CASES,12,12/9/2010 15:39,0.55,13676.0,United Kingdom
537313,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/9/2010 15:39,4.25,13676.0,United Kingdom
537313,22310,IVORY KNITTED MUG COSY,4,12/9/2010 15:39,1.65,13676.0,United Kingdom
537313,20725,LUNCH BAG RED RETROSPOT,3,12/9/2010 15:39,1.65,13676.0,United Kingdom
537313,22423,REGENCY CAKESTAND 3 TIER,8,12/9/2010 15:39,12.75,13676.0,United Kingdom
537313,22310,IVORY KNITTED MUG COSY,24,12/9/2010 15:39,1.65,13676.0,United Kingdom
537313,21755,LOVE BUILDING BLOCK WORD,8,12/9/2010 15:39,5.95,13676.0,United Kingdom
537313,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/9/2010 15:39,4.25,13676.0,United Kingdom
537313,22960,JAM MAKING SET WITH JARS,1,12/9/2010 15:39,4.25,13676.0,United Kingdom
537313,85099B,JUMBO BAG RED RETROSPOT,24,12/9/2010 15:39,1.95,13676.0,United Kingdom
537313,22423,REGENCY CAKESTAND 3 TIER,12,12/9/2010 15:39,12.75,13676.0,United Kingdom
537369,21777,RECIPE BOX WITH METAL HEART,48,12/10/2010 8:48,7.95,17075.0,United Kingdom
537369,21754,HOME BUILDING BLOCK WORD,48,12/10/2010 8:48,5.95,17075.0,United Kingdom
537369,22913,RED COAT RACK PARIS FASHION,3,12/10/2010 8:48,4.95,17075.0,United Kingdom
537369,22752,SET 7 BABUSHKA NESTING BOXES,2,12/10/2010 8:48,7.65,17075.0,United Kingdom
537369,47566,PARTY BUNTING,1,12/10/2010 8:48,4.95,17075.0,United Kingdom
537369,21754,HOME BUILDING BLOCK WORD,48,12/10/2010 8:48,5.95,17075.0,United Kingdom
537369,47566,PARTY BUNTING,6,12/10/2010 8:48,4.95,17075.0,United Kingdom
537369,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/10/2010 8:48,2.75,17075.0,United Kingdom
537369,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,12/10/2010 8:48,4.25,17075.0,United Kingdom
537369,47566,PARTY BUNTING,3,12/10/2010 8:48,4.95,17075.0,United Kingdom
537369,22310,IVORY KNITTED MUG COSY,12,12/10/2010 8:48,1.65,17075.0,United Kingdom
537369,21212,PACK OF 72 RETROSPOT CAKE CASES,4,12/10/2010 8:48,0.55,17075.0,United Kingdom
537369,20725,LUNCH BAG RED RETROSPOT,24,12/10/2010 8:48,1.65,17075.0,United Kingdom
537369,85099B,JUMBO BAG RED RETROSPOT,8,12/10/2010 8:48,1.95,17075.0,United Kingdom
537369,23084,RABBIT NIGHT LIGHT,4,12/10/2010 8:48,2.08,17075.0,United Kingdom
537369,22960,JAM MAKING SET WITH JARS,1,12/10/2010 8:48,4.25,17075.0,United Kingdom
537435,22748,POPPY'S PLAYHOUSE KITCHEN,24,12/11/2010 11:09,2.1,,United Kingdom
537435,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,12/11/2010 11:09,4.95,,United Kingdom
537435,22633,HAND WARMER UNION JACK,1,12/11/2010 11:09,1.85,,United Kingdom
537435,21754,,12,12/11/2010 11:09,5.95,,United Kingdom
537435,22623,,1,12/11/2010 11:09,4.95,,United Kingdom
537435,22913,RED COAT RACK PARIS FASHION,24,12/11/2010 11:09,4.95,,United Kingdom
537493,71053,WHITE METAL LANTERN,8,12/11/2010 17:01,3.39,,United Kingdom
537493,22960,JAM MAKING SET WITH JARS,3,12/11/2010 17:01,4.25,,United Kingdom
537493,47566,PARTY BUNTING,12,12/11/2010 17:01,4.95,,United Kingdom
537493,85099B,JUMBO BAG RED RETROSPOT,4,12/11/2010 17:01,1.95,,United Kingdom
537493,84406B,CREAM CUPID HEARTS COAT HANGER,24,12/11/2010 17:01,2.75,,United Kingdom
537493,22197,SMALL POPCORN HOLDER,12,12/11/2010 17:01,0.85,,United Kingdom
537493,22913,RED COAT RACK PARIS FASHION,2,12/11/2010 17:01,4.95,,United Kingdom
537493,22613,PACK OF 20 SPACEBOY NAPKINS,1,12/11/2010 17:01,0.85,,United Kingdom
537493,21777,RECIPE BOX WITH METAL HEART,3,12/11/2010 17:01,7.95,,United Kingdom
537493,22960,JAM MAKING SET WITH JARS,4,12/11/2010 17:01,4.25,,United Kingdom
537493,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,4,12/11/2010 17:01,4.25,,United Kingdom
537493,84879,ASSORTED COLOUR BIRD ORNAMENT,12,12/11/2010 17:01,1.69,,United Kingdom
537493,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,12/11/2010 17:01,4.25,,United Kingdom
537493,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,12/11/2010 17:01,4.25,,United Kingdom
537493,85123A,,4,12/11/2010 17:01,2.55,,United Kingdom
537493,22613,PACK OF 20 SPACEBOY NAPKINS,3,12/11/2010 17:01,0.85,,United Kingdom
537493,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,12/11/2010 17:01,4.25,,United Kingdom
537493,22623,BOX OF VINTAGE JIGSAW BLOCKS,24,12/11/2010 17:01,4.95,,United Kingdom
537493,22632,HAND WARMER RED POLKA DOT,24,12/11/2010 17:01,1.85,,United Kingdom
537493,22960,JAM MAKING SET WITH JARS,1,12/11/2010 17:01,4.25,,United Kingdom
537493,21777,RECIPE BOX WITH METAL HEART,24,12/11/2010 17:01,7.95,,United Kingdom
537493,47566,PARTY BUNTING,2,12/11/2010 17:01,4.95,,United Kingdom
537493,85099B,JUMBO BAG RED RETROSPOT,24,12/11/2010 17:01,1.95,,United Kingdom
537567,84406B,CREAM CUPID HEARTS COAT HANGER,24,12/12/2010 11:58,2.75,13132.0,United Kingdom
537567,22623,BOX OF VINTAGE JIGSAW BLOCKS,1,12/12/2010 11:58,4.95,13132.0,United Kingdom
537567,22745,POPPY'S PLAYHOUSE BEDROOM,48,12/12/2010 11:58,2.1,13132.0,United Kingdom
537567,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/12/2010 11:58,4.25,13132.0,United Kingdom
537567,21777,RECIPE BOX WITH METAL HEART,4,12/12/2010 11:58,7.95,13132.0,United Kingdom
537567,71053,WHITE METAL LANTERN,2,12/12/2010 11:58,3.39,13132.0,United Kingdom
537567,21777,RECIPE BOX WITH METAL HEART,2,12/12/2010 11:58,7.95,13132.0,United Kingdom
537567,84879,ASSORTED COLOUR BIRD ORNAMENT,3,12/12/2010 11:58,1.69,13132.0,United Kingdom
537567,21777,RECIPE BOX WITH METAL HEART,48,12/12/2010 11:58,7.95,13132.0,United Kingdom
537567,22632,HAND WARMER RED POLKA DOT,24,12/12/2010 11:58,1.85,13132.0,United Kingdom
537567,22745,POPPY'S PLAYHOUSE BEDROOM,6,12/12/2010 11:58,2.1,13132.0,United Kingdom
537567,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,12/12/2010 11:58,3.39,13132.0,United Kingdom
537567,22623,BOX OF VINTAGE JIGSAW BLOCKS,1,12/12/2010 11:58,4.95,13132.0,United Kingdom
537567,84406B,CREAM CUPID HEARTS COAT HANGER,4,12/12/2010 11:58,2.75,13132.0,United Kingdom
537567,22748,POPPY'S PLAYHOUSE KITCHEN,8,12/12/2010 11:58,2.1,13132.0,United Kingdom
537567,22623,BOX OF VINTAGE JIGSAW BLOCKS,24,12/12/2010 11:58,4.95,13132.0,United Kingdom
537567,22748,POPPY'S PLAYHOUSE KITCHEN,12,12/12/2010 11:58,2.1,13132.0,United Kingdom
537613,22613,PACK OF 20 SPACEBOY NAPKINS,48,12/13/2010 8:15,0.85,,United Kingdom
537613,21212,PACK OF 72 RETROSPOT CAKE CASES,24,12/13/2010 8:15,0.55,,United Kingdom
537613,84879,ASSORTED COLOUR BIRD ORNAMENT,1,12/13/2010 8:15,1.69,,United Kingdom
537613,21212,PACK OF 72 RETROSPOT CAKE CASES,2,12/13/2010 8:15,0.55,,United Kingdom
537613,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,12/13/2010 8:15,3.39,,United Kingdom
537613,22613,PACK OF 20 SPACEBOY NAPKINS,3,12/13/2010 8:15,0.85,,United Kingdom
537613,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,12/13/2010 8:15,3.39,,United Kingdom
537613,22310,IVORY KNITTED MUG COSY,1,12/13/2010 8:15,1.65,,United Kingdom
537613,22423,REGENCY CAKESTAND 3 TIER,12,12/13/2010 8:15,12.75,,United Kingdom
537613,22197,SMALL POPCORN HOLDER,2,12/13/2010 8:15,0.85,,United Kingdom
537613,22623,BOX OF VINTAGE JIGSAW BLOCKS,12,12/13/2010 8:15,4.95,,United Kingdom
537613,22745,POPPY'S PLAYHOUSE BEDROOM,4,12/13/2010 8:15,2.1,,United Kingdom
